Timestamp,What is your current emotion ?,What is the reason for your selected emotion ? 
13/10/2025 23:20:29,Fear,I have exam tomorrow
14/10/2025 13:09:59,Sad,Just now I got my QRA marks 
14/10/2025 13:12:41,Sad,Many classes and no sleep
14/10/2025 13:45:43,Happy,Because I ate tasty food 
14/10/2025 13:56:52,Sad,Got into a fight with a friend 
14/10/2025 14:02:15,Happy,I am happy because things going grate today and i am in a positive mood
14/10/2025 14:03:44,Happy,I talked with my long distance Best friend after a long gap 
14/10/2025 14:06:42,Fear,I had fdfed evaluation 
14/10/2025 14:09:12,Sad,Don't know 
15/10/2025 22:11:02,Neutral,me
15/10/2025 22:11:03,Fear,As tomorrow we have wc project mid evaluation 
15/10/2025 22:12:06,Sad,Because of mood swings and sometimes without any reason 
15/10/2025 22:12:38,Happy,Had a great day
15/10/2025 22:12:59,Sad,So much problems
15/10/2025 22:13:01,Sad,My day didn't go well
15/10/2025 22:13:31,Angry,I hated the way our fdfed project evaluation went
15/10/2025 22:18:32,Sad,Because of project 
15/10/2025 22:36:07,Neutral,   
15/10/2025 23:09:56,Neutral,"No particular reason, just in a normal state"
15/10/2025 23:32:57,Happy,Because I'm helping sofi🫠
16/10/2025 00:12:01,Sad,Bcoz of cc project 
16/10/2025 06:44:45,Fear,I'm worrying about my mid evaluation  
2025-09-19 17:37:05,sad,Low grades received
2025-09-21 13:09:48,surprise,Faculty praised the group
2025-09-22 13:54:57,disgust,Spoiled food from canteen
2025-09-23 02:56:19,surprise,Surprise quiz announced
2025-09-24 07:43:21,angry,Faculty feedback was unfair
2025-09-25 04:18:10,angry,Technical problems in lab
2025-09-26 00:50:39,disgust,Rude behavior witnessed
2025-09-26 17:10:45,disgust,Mess food was bad
2025-09-27 16:53:33,sad,Friend feeling down
2025-09-29 06:49:11,fear,Worried about placements
2025-09-30 02:33:53,disgust,Mess food was bad
2025-09-30 22:09:24,surprise,Unexpected holiday
2025-10-02 01:04:56,sad,Friend feeling down
2025-10-02 17:16:23,surprise,Faculty praised the group
2025-10-04 08:12:34,disgust,Hostel common area dirty
2025-10-05 05:40:52,surprise,Unexpected holiday
2025-10-06 14:54:32,happy,Completed project milestone
2025-10-06 21:25:05,surprise,Won college competition unexpectedly
2025-10-07 20:34:25,surprise,Won college competition unexpectedly
2025-10-09 14:22:41,disgust,Mess food was bad
2025-10-10 00:43:53,neutral,Routine day of classes
2025-10-11 02:55:34,disgust,Hostel common area dirty
2025-10-11 18:23:38,sad,Project submission delayed
2025-10-12 23:38:43,happy,Enjoyed coding with friends
2025-10-14 11:47:12,sad,Missed a class
